order_id,order_date,customer_id,product_id,region_id,quantity,discount,sales_amount,cost_amount,profit,is_return,is_invalid_date
O000030,2025-05-20,C01144,P0058,R012,2,0.05,907.72,718.12,189.6,0,0
O000031,2024-01-08,C01109,P0050,R010,2,0.1,2256.41,1654.8,601.61,0,0
O000032,2025-01-04,C01819,P0087,R008,2,0.0,743.14,456.68,286.46,0,0
O000033,2024-02-18,C01742,P0088,R015,1,0.05,82.89,58.34,24.55,0,0
O000034,2025-01-23,C01439,P0067,R020,1,0.1,1101.03,890.89,210.14,0,0
O000035,2024-09-12,C00330,P0077,R003,2,0.0,1303.58,792.08,511.5,0,0
O000036,2025-05-31,C00194,P0055,R016,1,0.0,845.32,517.78,327.54,0,0
O000037,2025-10-05,C00280,P0029,R010,1,0.1,887.5,722.34,165.16,0,0
O000038,2024-12-23,C01228,P0008,R014,2,0.0,416.24,256.6,159.64,0,0
O000039,2025-04-14,C01426,P0073,R016,1,0.1,689.34,629.1,60.24,0,0
O000040,2025-03-14,C01600,P0074,R007,1,0.1,447.94,405.74,42.2,0,0
O000041,2025-12-20,C00207,P0074,R005,1,0.1,447.94,405.74,42.2,0,0
O000042,2024-06-17,C00550,P0064,R001,3,0.2,2166.14,2272.23,-106.09,0,0
O000043,2024-06-23,C00677,P0043,R020,2,0.05,39.14,29.64,9.5,0,0
O000044,2024-10-03,C01265,P0032,R016,2,0.0,2281.0,1750.98,530.02,0,0
O000045,2025-06-22,C00094,P0010,R015,1,0.0,1005.24,832.19,173.05,0,0
O000046,2025-09-24,C01681,P0021,R001,2,0.15,752.06,737.6,14.46,0,0
O000047,2024-07-22,C00162,P0070,R019,1,0.05,57.56,37.94,19.62,0,0
O000048,2024-03-21,C01048,P0082,R003,3,0.05,530.33,475.98,54.35,0,0
O000049,2025-03-20,C01866,P0093,R006,1,0.0,907.16,594.21,312.95,0,0
O000050,2025-03-12,C00389,P0012,R012,2,0.1,2610.25,1789.48,820.77,0,0
O000051,2024-09-30,C01375,P0086,R001,2,0.1,1252.66,1178.58,74.08,0,0
O000052,2024-05-14,C01100,P0068,R016,2,0.1,1107.97,1014.66,93.31,0,0
O000053,2025-09-13,C01640,P0039,R019,1,0.1,811.4,688.78,122.62,0,0
O000054,2025-09-10,C01177,P0079,R009,2,0.0,203.86,153.66,50.2,0,0
O000055,2025-06-30,C01697,P0100,R003,3,0.0,1311.81,774.57,537.24,0,0
O000056,2025-02-27,C00806,P0047,R012,1,0.0,493.29,406.08,87.21,0,0
O000057,2024-07-10,C00328,P0070,R016,1,0.0,60.59,37.94,22.65,0,0
O000058,2024-10-21,C01360,P0034,R020,3,0.15,1559.99,1506.15,53.84,0,0
O000059,2024-02-20,C01936,P0028,R006,2,0.0,1215.68,1039.42,176.26,0,0
O000060,2024-07-01,C00867,P0021,R006,1,0.0,442.39,368.8,73.59,0,0
O000061,2024-11-25,C01640,P0005,R002,1,0.15,571.36,567.23,4.13,0,0
O000062,2024-11-15,C01755,P0079,R001,1,0.1,91.74,76.83,14.91,0,0
O000063,2024-02-28,C01292,P0020,R015,1,0.0,1187.83,729.28,458.55,0,0
O000064,2025-12-01,C01584,P0075,R005,1,0.0,192.39,139.88,52.51,0,0
O000065,2024-07-15,C01126,P0090,R007,1,0.0,49.6,43.23,6.37,0,0
O000066,2025-01-07,C01610,P0089,R009,5,0.05,4187.98,3780.7,407.28,0,0
O000067,2024-12-06,C00673,P0038,R002,5,0.1,1835.46,1212.2,623.26,0,0
O000068,2024-12-09,C01053,P0018,R016,2,0.05,1790.66,1531.34,259.32,0,0
O000069,2025-09-09,C00156,P0053,R012,1,0.0,55.07,48.4,6.67,0,0
O000070,2025-06-29,C00393,P0025,R009,5,0.0,1357.4,864.3,493.1,0,0
O000071,2025-09-26,C01159,P0046,R005,2,0.1,1884.85,1723.26,161.59,0,0
O000072,2024-10-04,C01449,P0065,R012,1,0.05,485.01,442.51,42.5,0,0
O000073,2024-07-12,C00060,P0072,R015,1,0.1,248.85,230.43,18.42,0,0
O000074,2024-11-08,C00138,P0029,R012,2,0.15,1676.39,1444.68,231.71,0,0
O000075,2025-02-14,C00013,P0030,R016,4,0.1,1743.73,1281.12,462.61,0,0
O000076,2024-09-03,C01036,P0090,R010,1,0.05,47.12,43.23,3.89,0,0
O000077,2024-12-02,C00671,P0096,R003,1,0.1,701.07,459.15,241.92,0,0
O000078,2024-04-20,C00106,P0072,R004,3,0.05,788.02,691.29,96.73,0,0
O000079,2025-03-02,C01588,P0064,R016,1,0.05,857.43,757.41,100.02,0,0
O000080,2025-06-05,C01057,P0073,R002,1,0.1,689.34,629.1,60.24,0,0
O000081,2025-01-20,C00021,P0018,R010,2,0.1,1696.41,1531.34,165.07,0,0
O000082,2025-09-30,C01372,P0093,R005,2,0.0,1814.32,1188.42,625.9,0,0
O000083,2025-12-28,C01823,P0028,R016,1,0.0,607.84,519.71,88.13,0,0
O000084,2025-10-23,C00839,P0074,R006,1,0.0,497.71,405.74,91.97,0,0
O000085,2024-03-08,C01900,P0030,R016,1,0.1,435.93,320.28,115.65,0,0
O000086,2025-10-05,C00834,P0077,R004,1,0.05,619.2,396.04,223.16,0,0
O000087,2024-08-31,C00155,P0081,R013,2,0.05,366.89,335.54,31.35,0,0
O000088,2024-11-26,C00246,P0080,R004,3,0.0,3193.23,2267.91,925.32,0,0
O000089,2024-10-28,C00134,P0052,R010,2,0.0,907.38,772.08,135.3,0,0
O000090,2024-07-26,C00604,P0069,R013,2,0.0,1610.08,1225.7,384.38,0,0
O000091,2025-10-03,C00770,P0068,R004,1,0.0,615.54,507.33,108.21,0,0
O000092,2025-04-11,C00889,P0078,R010,1,0.2,727.27,738.46,-11.19,0,0
O000093,2025-12-07,C00962,P0059,R015,2,0.05,2536.29,1783.32,752.97,0,0
O000094,2025-11-28,C01728,P0059,R006,1,0.1,1201.4,891.66,309.74,0,0
O000095,2024-11-02,C00024,P0075,R002,1,0.05,182.77,139.88,42.89,0,0
O000096,2025-06-15,C01796,P0023,R005,1,0.05,253.03,211.31,41.72,0,0
O000097,2025-01-02,C00478,P0073,R008,2,0.15,1302.08,1258.2,43.88,0,0
O000098,2024-12-27,C01908,P0021,R003,1,0.15,376.03,368.8,7.23,0,0
O000099,2025-06-24,C00271,P0079,R017,1,0.0,101.93,76.83,25.1,0,0
O000100,2025-05-18,C00201,P0048,R014,2,0.0,277.14,190.66,86.48,0,0
O000101,2025-10-28,C00244,P0088,R011,2,0.0,174.5,116.68,57.82,0,0
O000102,2025-07-18,C00593,P0013,R010,1,0.15,274.92,263.26,11.66,0,0
O000103,2025-03-30,C01884,P0055,R016,2,0.1,1521.58,1035.56,486.02,0,0
O000104,2025-11-02,C00926,P0023,R014,2,0.15,452.8,422.62,30.18,0,0
O000105,2024-03-15,C00331,P0090,R014,1,0.0,49.6,43.23,6.37,0,0
O000106,2025-07-11,C01284,P0018,R008,2,0.05,1790.66,1531.34,259.32,0,0
O000107,2024-10-13,C01017,P0057,R001,1,0.0,1078.55,631.71,446.84,0,0
O000108,2024-11-12,C01406,P0015,R002,3,0.0,3730.41,2691.09,1039.32,0,0
O000109,2025-07-25,C01484,P0085,R015,1,0.1,486.6,327.75,158.85,0,0
O000110,2024-07-19,C01573,P0036,R017,1,0.05,996.05,882.0,114.05,0,0
O000111,2025-10-07,C00303,P0067,R002,2,0.05,2324.4,1781.78,542.62,0,0
O000112,2024-12-31,C00992,P0023,R001,2,0.0,532.7,422.62,110.08,0,0
O000113,2024-09-12,C01262,P0044,R005,1,0.0,386.64,265.87,120.77,0,0
O000114,2024-08-27,C01114,P0016,R008,5,0.0,2112.1,1797.75,314.35,0,0
O000115,2024-11-03,C01946,P0063,R004,1,0.05,333.95,243.66,90.29,0,0
O000116,2025-11-20,C01922,P0001,R012,1,0.0,163.24,115.78,47.46,0,0
O000117,2024-03-16,C01624,P0100,R018,1,0.0,437.27,258.19,179.08,0,0
O000118,2025-01-06,C00481,P0051,R014,1,0.1,759.25,651.66,107.59,0,0
O000119,2025-09-02,C01058,P0071,R007,3,0.05,2522.62,2032.44,490.18,0,0
O000120,2024-12-11,C01608,P0037,R010,1,0.0,636.93,544.29,92.64,0,0
O000121,2025-02-17,C00537,P0033,R019,2,0.0,1418.78,976.82,441.96,0,0
O000122,2024-09-11,C01424,P0089,R016,3,0.1,2380.54,2268.42,112.12,0,0
O000123,2024-04-09,C00499,P0082,R004,1,0.0,186.08,158.66,27.42,0,0
O000124,2025-04-12,C00281,P0072,R010,2,0.0,553.0,460.86,92.14,0,0
O000125,2025-11-03,C00480,P0081,R002,1,0.0,193.1,167.77,25.33,0,0
O000126,2025-01-15,C01853,P0024,R017,3,0.0,2870.43,2482.62,387.81,0,0
O000127,2024-11-11,C01991,P0096,R014,1,0.0,778.97,459.15,319.82,0,0
O000128,2024-04-04,C01711,P0054,R005,4,0.0,3505.6,2494.04,1011.56,0,0
O000129,2025-11-21,C00543,P0090,R015,1,0.0,49.6,43.23,6.37,0,0
O000130,2025-09-27,C01560,P0080,R010,1,0.0,1064.41,755.97,308.44,0,0
O000131,2025-10-21,C00437,P0037,R016,2,0.05,1210.17,1088.58,121.59,0,0
O000132,2024-09-19,C00254,P0065,R001,1,0.05,485.01,442.51,42.5,0,0
O000133,2025-04-02,C00518,P0098,R009,1,0.0,1403.73,817.94,585.79,0,0
O000134,2024-11-12,C00280,P0006,R012,2,0.0,471.42,298.42,173.0,0,0
O000135,2024-06-20,C01282,P0052,R003,1,0.05,431.01,386.04,44.97,0,0
O000136,2024-05-30,C01367,P0070,R009,2,0.0,121.18,75.88,45.3,0,0
O000137,2024-10-07,C00072,P0043,R015,2,0.15,35.02,29.64,5.38,0,0
O000138,2025-02-08,C00215,P0040,R014,4,0.0,3537.76,3112.8,424.96,0,0
O000139,2024-03-30,C00959,P0081,R003,1,0.05,183.44,167.77,15.67,0,0
O000140,2025-05-28,C00227,P0094,R015,2,0.0,1738.84,1390.16,348.68,0,0
O000141,2024-11-30,C01657,P0062,R015,3,0.0,846.09,559.77,286.32,0,0
O000142,2025-10-06,C00801,P0097,R009,2,0.0,2417.7,1605.58,812.12,0,0
O000143,2024-07-22,C00826,P0015,R017,1,0.0,1243.47,897.03,346.44,0,0
O000144,2024-02-07,C00011,P0030,R013,1,0.0,484.37,320.28,164.09,0,0
O000145,2024-08-16,C01403,P0013,R020,1,0.05,307.26,263.26,44.0,0,0
O000146,2025-12-12,C01443,P0052,R015,1,0.0,453.69,386.04,67.65,0,0
O000147,2024-08-23,C01513,P0070,R020,2,0.0,121.18,75.88,45.3,0,0
O000148,2025-05-29,C01081,P0027,R017,2,0.0,1877.32,1543.96,333.36,0,0
O000149,2025-09-08,C00540,P0054,R007,1,0.1,788.76,623.51,165.25,0,0
O000150,2024-07-26,C00157,P0075,R003,4,0.0,769.56,559.52,210.04,0,0
O000151,2025-04-14,C00632,P0071,R013,2,0.05,1681.75,1354.96,326.79,0,0
O000152,2024-05-29,C01088,P0070,R011,5,0.05,287.8,189.7,98.1,0,0
O000153,2024-09-21,C00234,P0068,R020,1,0.0,615.54,507.33,108.21,0,0
O000154,2024-08-04,C00109,P0099,R019,2,0.1,2024.91,1436.9,588.01,0,0
O000155,2025-05-06,C00434,P0078,R001,1,0.0,909.09,738.46,170.63,0,0
O000156,2025-10-02,C00142,P0093,R006,4,0.0,3628.64,2376.84,1251.8,0,0
O000157,2024-07-03,C00029,P0097,R011,1,0.0,1208.85,802.79,406.06,0,0
O000158,2024-08-01,C00971,P0090,R013,1,0.2,39.68,43.23,-3.55,0,0
O000159,2025-08-23,C01491,P0014,R008,2,0.0,941.46,826.9,114.56,0,0
O000160,2024-12-04,C01000,P0061,R006,1,0.1,678.28,479.76,198.52,0,0
O000161,2025-01-10,C00183,P0047,R010,3,0.05,1405.88,1218.24,187.64,0,0
O000162,2025-05-30,C00678,P0014,R017,1,0.1,423.66,413.45,10.21,0,0
O000163,2024-04-10,C00072,P0065,R019,1,0.1,459.49,442.51,16.98,0,0
O000164,2025-09-29,C01244,P0029,R015,1,0.0,986.11,722.34,263.77,0,0
O000165,2024-09-23,C00467,P0066,R004,1,0.05,809.12,711.51,97.61,0,0
O000166,2025-04-26,C00775,P0086,R019,3,0.0,2087.76,1767.87,319.89,0,0
O000167,2024-11-11,C01805,P0048,R011,4,0.0,554.28,381.32,172.96,0,0
O000168,2025-07-04,C01174,P0097,R014,4,0.2,3868.32,3211.16,657.16,0,0
O000169,2025-03-23,C01530,P0082,R014,4,0.0,744.32,634.64,109.68,0,0
O000170,2024-05-06,C00700,P0085,R010,1,0.0,540.67,327.75,212.92,0,0
O000171,2024-05-17,C01862,P0016,R011,2,0.05,802.6,719.1,83.5,0,0
O000172,2025-10-03,C01430,P0096,R011,1,0.1,701.07,459.15,241.92,0,0
O000173,2025-01-14,C01032,P0006,R003,2,0.0,471.42,298.42,173.0,0,0
O000174,2024-07-20,C01159,P0088,R016,4,0.05,331.55,233.36,98.19,0,0
O000175,2024-04-14,C01247,P0005,R007,1,0.1,604.97,567.23,37.74,0,0
O000176,2024-04-03,C00321,P0023,R015,2,0.0,532.7,422.62,110.08,0,0
O000177,2025-11-03,C00504,P0040,R001,1,0.1,796.0,778.2,17.8,0,0
O000178,2025-12-14,C01373,P0080,R003,4,0.1,3831.88,3023.88,808.0,0,0
O000179,2024-10-14,C00882,P0093,R006,3,0.1,2449.33,1782.63,666.7,0,0
O000180,2024-05-27,C01568,P0074,R006,3,0.15,1269.16,1217.22,51.94,0,0
O000181,2024-11-02,C01052,P0079,R003,2,0.05,193.67,153.66,40.01,0,0
O000182,2024-04-09,C00132,P0037,R014,4,0.05,2420.33,2177.16,243.17,0,0
O000183,2025-02-05,C01330,P0099,R002,5,0.1,5062.28,3592.25,1470.03,0,0
O000184,2025-04-02,C01220,P0050,R003,1,0.05,1190.88,827.4,363.48,0,0
O000185,2025-12-21,C00730,P0094,R013,4,0.0,3477.68,2780.32,697.36,0,0
O000186,2024-08-21,C01581,P0083,R014,2,0.0,2496.04,1735.06,760.98,0,0
O000187,2024-05-24,C00702,P0046,R014,1,0.0,1047.14,861.63,185.51,0,0
O000188,2024-04-07,C00230,P0043,R018,2,0.1,37.08,29.64,7.44,0,0
O000189,2024-10-02,C00243,P0075,R016,2,0.0,384.78,279.76,105.02,0,0
O000190,2025-03-15,C01804,P0096,R008,2,0.05,1480.04,918.3,561.74,0,0
O000191,2024-02-18,C00753,P0074,R013,1,0.05,472.82,405.74,67.08,0,0
O000192,2025-07-08,C00830,P0090,R005,2,0.0,99.2,86.46,12.74,0,0
O000193,2024-12-02,C00611,P0098,R017,2,0.05,2667.09,1635.88,1031.21,0,0
O000194,2025-08-02,C01476,P0042,R018,1,0.2,70.37,69.02,1.35,0,0
O000195,2024-12-04,C01212,P0062,R012,3,0.0,846.09,559.77,286.32,0,0
O000196,2024-04-23,C01799,P0069,R010,2,0.05,1529.58,1225.7,303.88,0,0
O000197,2024-01-16,C01789,P0029,R013,3,0.0,2958.33,2167.02,791.31,0,0
O000198,2025-02-11,C01980,P0085,R017,2,0.0,1081.34,655.5,425.84,0,0
O000199,2025-01-29,C00659,P0034,R019,5,0.0,3058.8,2510.25,548.55,0,0
O000200,2025-08-17,C01168,P0077,R002,2,0.0,1303.58,792.08,511.5,0,0
O000201,2025-10-03,C00693,P0061,R013,1,0.0,753.65,479.76,273.89,0,0
O000202,2024-04-27,C01409,P0088,R005,1,0.05,82.89,58.34,24.55,0,0
O000203,2024-08-18,C01497,P0060,R002,2,0.15,771.34,681.28,90.06,0,0
O000204,2024-05-31,C00504,P0067,R001,2,0.0,2446.74,1781.78,664.96,0,0
O000205,2024-03-19,C01720,P0025,R002,1,0.0,271.48,172.86,98.62,0,0
O000206,2024-01-02,C00581,P0086,R009,3,0.0,2087.76,1767.87,319.89,0,0
O000207,2024-03-01,C01967,P0049,R018,4,0.05,3451.84,2354.56,1097.28,0,0
O000208,2025-01-18,C01702,P0066,R018,1,0.0,851.71,711.51,140.2,0,0
O000209,2024-04-21,C00037,P0089,R016,1,0.15,749.43,756.14,-6.71,0,0
O000210,2024-05-22,C00797,P0057,R013,3,0.0,3235.65,1895.13,1340.52,0,0
O000211,2024-03-27,C00777,P0036,R013,1,0.05,996.05,882.0,114.05,0,0
O000212,2025-06-13,C01645,P0035,R001,1,0.1,902.61,753.29,149.32,0,0
O000213,2025-04-09,C01449,P0065,R017,1,0.1,459.49,442.51,16.98,0,0
O000214,2025-12-04,C00102,P0037,R001,1,0.05,605.08,544.29,60.79,0,0
O000215,2024-03-22,C01682,P0043,R016,2,0.1,37.08,29.64,7.44,0,0
O000216,2024-06-01,C00437,P0031,R015,3,0.1,441.53,341.01,100.52,0,0
O000217,2024-11-29,C00740,P0054,R006,2,0.05,1665.16,1247.02,418.14,0,0
O000218,2025-04-19,C00341,P0055,R002,1,0.05,803.05,517.78,285.27,0,0
O000219,2024-04-05,C00316,P0061,R018,3,0.0,2260.95,1439.28,821.67,0,0
O000220,2024-06-03,C01055,P0067,R005,2,0.15,2079.73,1781.78,297.95,0,0
O000221,2024-11-04,C00170,P0067,R011,2,0.15,2079.73,1781.78,297.95,0,0
O000222,2024-01-14,C00162,P0046,R014,1,0.05,994.78,861.63,133.15,0,0
O000223,2024-10-15,C01572,P0093,R010,2,0.05,1723.6,1188.42,535.18,0,0
O000224,2025-07-08,C00688,P0060,R005,3,0.05,1293.13,1021.92,271.21,0,0
O000225,2025-01-19,C01297,P0088,R010,2,0.0,174.5,116.68,57.82,0,0
O000226,2024-11-13,C01973,P0064,R010,3,0.1,2436.91,2272.23,164.68,0,0
O000227,2024-12-22,C00102,P0046,R009,5,0.1,4712.13,4308.15,403.98,0,0
O000228,2025-11-23,C01589,P0080,R008,5,0.05,5055.95,3779.85,1276.1,0,0
O000229,2025-01-15,C00220,P0024,R002,4,0.0,3827.24,3310.16,517.08,0,0
O000230,2025-01-25,C01522,P0098,R007,3,0.0,4211.19,2453.82,1757.37,0,0
O000231,2025-11-11,C00613,P0065,R008,5,0.0,2552.7,2212.55,340.15,0,0
O000232,2024-04-25,C00271,P0015,R006,1,0.1,1119.12,897.03,222.09,0,0
O000233,2024-03-11,C00458,P0051,R003,1,0.05,801.43,651.66,149.77,0,0
O000234,2024-11-24,C00730,P0078,R009,3,0.1,2454.54,2215.38,239.16,0,0
O000235,2024-08-20,C01460,P0010,R019,1,0.15,854.45,832.19,22.26,0,0
O000236,2024-05-28,C01362,P0034,R004,2,0.05,1162.34,1004.1,158.24,0,0
O000237,2024-03-28,C01458,P0095,R014,4,0.0,554.48,348.44,206.04,0,0
O000238,2025-10-03,C00044,P0044,R020,3,0.05,1101.92,797.61,304.31,0,0
O000239,2025-03-25,C01951,P0022,R020,1,0.0,494.11,305.85,188.26,0,0
O000240,2025-05-20,C00868,P0014,R007,1,0.0,470.73,413.45,57.28,0,0
O000241,2024-03-27,C00223,P0070,R003,2,0.0,121.18,75.88,45.3,0,0
O000242,2024-09-06,C01858,P0064,R015,3,0.0,2707.68,2272.23,435.45,0,0
O000243,2025-03-29,C01586,P0072,R007,3,0.2,663.6,691.29,-27.69,0,0
O000244,2025-01-20,C00165,P0097,R006,3,0.1,3263.9,2408.37,855.53,0,0
O000245,2025-05-22,C00874,P0009,R015,1,0.15,799.86,785.27,14.59,0,0
O000246,2025-05-04,C01813,P0027,R006,2,0.0,1877.32,1543.96,333.36,0,0
O000247,2024-10-29,C01366,P0031,R011,2,0.0,327.06,227.34,99.72,0,0
O000248,2025-07-26,C00390,P0052,R010,1,0.0,453.69,386.04,67.65,0,0
O000249,2024-07-08,C01401,P0017,R017,5,0.05,2891.99,2284.5,607.49,0,0
O000250,2024-02-28,C00379,P0050,R015,1,0.1,1128.2,827.4,300.8,0,0
O000251,2025-10-29,C00704,P0086,R008,1,0.2,556.74,589.29,-32.55,0,0
O000252,2024-01-17,C00391,P0023,R001,1,0.0,266.35,211.31,55.04,0,0
O000253,2024-07-26,C01387,P0094,R005,1,0.0,869.42,695.08,174.34,0,0
O000254,2024-03-24,C01863,P0094,R004,2,0.05,1651.9,1390.16,261.74,0,0
O000255,2024-06-18,C00089,P0060,R016,5,0.0,2268.65,1703.2,565.45,0,0
O000256,2024-10-15,C01208,P0090,R016,1,0.05,47.12,43.23,3.89,0,0
O000257,2024-04-04,C00497,P0078,R001,2,0.05,1727.27,1476.92,250.35,0,0
O000258,2024-12-07,C01502,P0044,R008,3,0.05,1101.92,797.61,304.31,0,0
O000259,2025-11-08,C00279,P0064,R003,2,0.15,1534.35,1514.82,19.53,0,0
O000260,2024-04-09,C00733,P0017,R018,4,0.1,2191.82,1827.6,364.22,0,0
O000261,2025-11-08,C00412,P0058,R015,2,0.05,907.72,718.12,189.6,0,0
O000262,2024-10-27,C01747,P0087,R003,4,0.0,1486.28,913.36,572.92,0,0
O000263,2025-03-09,C00166,P0067,R014,2,0.1,2202.07,1781.78,420.29,0,0
O000264,2024-11-18,C01164,P0047,R017,1,0.0,493.29,406.08,87.21,0,0
O000265,2024-08-19,C00241,P0073,R002,1,0.0,765.93,629.1,136.83,0,0
O000266,2024-03-20,C01200,P0099,R013,1,0.0,1124.95,718.45,406.5,0,0
O000267,2025-03-09,C01536,P0010,R011,3,0.0,3015.72,2496.57,519.15,0,0
O000268,2025-11-01,C01505,P0042,R004,1,0.0,87.96,69.02,18.94,0,0
O000269,2025-01-15,C00067,P0022,R019,2,0.0,988.22,611.7,376.52,0,0
O000270,2025-03-13,C01548,P0097,R001,1,0.05,1148.41,802.79,345.62,0,0
O000271,2025-04-15,C00594,P0063,R010,1,0.0,351.53,243.66,107.87,0,0
O000272,2024-10-11,C01364,P0018,R018,1,0.15,801.08,765.67,35.41,0,0
O000273,2024-03-29,C01928,P0069,R007,4,0.1,2898.14,2451.4,446.74,0,0
O000274,2025-01-05,C00238,P0059,R006,4,0.0,5339.56,3566.64,1772.92,0,0
O000275,2025-09-27,C00726,P0009,R015,2,0.1,1693.82,1570.54,123.28,0,0
O000276,2024-08-17,C01734,P0090,R005,1,0.15,42.16,43.23,-1.07,0,0
O000277,2025-09-29,C00284,P0077,R011,4,0.0,2607.16,1584.16,1023.0,0,0
O000278,2025-09-16,C00522,P0001,R004,1,0.0,163.24,115.78,47.46,0,0
O000279,2024-06-27,C01099,P0097,R002,1,0.15,1027.52,802.79,224.73,0,0
O000280,2025-02-24,C01993,P0022,R008,1,0.0,494.11,305.85,188.26,0,0
O000281,2025-06-30,C00590,P0001,R003,1,0.1,146.92,115.78,31.14,0,0
O000282,2024-12-27,C00772,P0052,R011,1,0.0,453.69,386.04,67.65,0,0
O000283,2025-05-26,C01592,P0020,R010,1,0.0,1187.83,729.28,458.55,0,0
O000284,2025-10-27,C00240,P0065,R010,1,0.05,485.01,442.51,42.5,0,0
O000285,2025-04-03,C00656,P0040,R020,3,0.0,2653.32,2334.6,318.72,0,0
O000286,2025-09-04,C00633,P0025,R018,4,0.1,977.33,691.44,285.89,0,0
O000287,2025-08-08,C00803,P0099,R009,4,0.1,4049.82,2873.8,1176.02,0,0
O000288,2025-08-17,C01148,P0042,R004,3,0.15,224.3,207.06,17.24,0,0
O000289,2025-09-15,C00444,P0050,R005,2,0.0,2507.12,1654.8,852.32,0,0
O000290,2024-06-13,C00783,P0038,R015,2,0.0,815.76,484.88,330.88,0,0
O000291,2024-01-14,C01834,P0088,R017,5,0.0,436.25,291.7,144.55,0,0
O000292,2024-04-21,C01658,P0027,R019,1,0.1,844.79,771.98,72.81,0,0
O000293,2024-07-01,C01913,P0018,R019,2,0.05,1790.66,1531.34,259.32,0,0
O000294,2025-05-19,C01365,P0091,R001,1,0.0,294.85,206.95,87.9,0,0
O000295,2025-01-07,C01165,P0025,R017,1,0.0,271.48,172.86,98.62,0,0
O000296,2024-12-08,C00427,P0090,R016,2,0.0,99.2,86.46,12.74,0,0
O000297,2024-01-07,C00318,P0066,R004,3,0.0,2555.13,2134.53,420.6,0,0
O000298,2025-05-14,C01078,P0087,R006,4,0.0,1486.28,913.36,572.92,0,0
O000299,2024-09-23,C00810,P0011,R020,1,0.0,493.47,415.83,77.64,0,0
O000300,2025-07-10,C01576,P0098,R009,1,0.05,1333.54,817.94,515.6,0,0
O000301,2024-03-23,C00020,P0038,R014,3,0.1,1101.28,727.32,373.96,0,0
O000302,2024-08-03,C01783,P0009,R002,2,0.0,1882.02,1570.54,311.48,0,0
O000303,2024-02-09,C00342,P0082,R013,1,0.05,176.78,158.66,18.12,0,0
O000304,2024-07-27,C00790,P0024,R006,1,0.1,861.13,827.54,33.59,0,0
O000305,2025-11-05,C00713,P0044,R016,3,0.1,1043.93,797.61,246.32,0,0
O000306,2024-12-24,C01849,P0067,R003,3,0.0,3670.11,2672.67,997.44,0,0
O000307,2024-11-17,C01441,P0010,R020,3,0.1,2714.15,2496.57,217.58,0,0
O000308,2024-07-18,C00072,P0027,R005,1,0.05,891.73,771.98,119.75,0,0
O000309,2024-07-12,C01707,P0058,R009,1,0.05,453.86,359.06,94.8,0,0
O000310,2025-05-02,C01354,P0051,R001,1,0.05,801.43,651.66,149.77,0,0
